event_type,symbol,direction,stage,entry,close_price,time_open,time_close,size,result,status,sl,tp,is_probe,fee,pnl_pct,r_value,reason,time_open_human,time_close_human
open,TRX/USDT,SHORT,probe,0.3144,,1760256157.6740725,,31.806615776081422,,open,,0.28296000000000004,True,0.0,,0.000871,probe_breakout_short,12/10/2025 15:02,
promote,TRX/USDT,SHORT,full,0.3144,,1760256157.6740725,,190.83969465648855,,promoted,,0.28296000000000004,False,0.0,,0.000871,probe_breakout_short,12/10/2025 15:02,
close,TRX/USDT,SHORT,full,0.3144,0.3147,1760256157.6740725,1760256247.715348,190.83969465648855,-0.10527480916029903,REVERSE,,0.28296000000000004,False,0.04802290076335878,-0.10527480916029905,0.000871,reverse_signal,12/10/2025 15:02,12/10/2025 15:04
open,BNB/USDT,LONG,probe,1175.21,,1760258468.9852834,,0.008500159562192265,,open,,1292.7310000000002,True,0.0,,10.972214,probe_breakout_long,12/10/2025 15:41,
close,BNB/USDT,LONG,probe,1175.21,1179.21,1760258468.9852834,1760259519.5813556,0.008500159562192265,0.025995459978202375,TRAP,,1292.7310000000002,True,0.008005178270566685,0.025995459978202375,10.972214,trap_reversal,12/10/2025 15:41,12/10/2025 15:58
open,DOT/USDT,SHORT,probe,2.972,,1760260119.9153044,,3.362070008439365,,open,,2.6748,True,0.0,,0.026594,probe_breakout_short,12/10/2025 16:08,
promote,DOT/USDT,SHORT,full,2.972,,1760260119.9153044,,20.172420050636187,,promoted,,2.6748,False,0.0,,0.026594,probe_breakout_short,12/10/2025 16:08,
open,BNB/USDT,LONG,probe,1188.68,,1760262221.118272,,0.00840602354299037,,open,,1307.5480000000002,True,0.0,,12.174858,probe_breakout_long,12/10/2025 16:43,
close,BNB/USDT,LONG,probe,1188.68,1215.0,1760262221.118272,1760263782.018004,0.00840602354299037,0.21316438338357996,TRAP,,1307.5480000000002,True,0.008082156267926039,0.21316438338358,12.174858,trap_reversal,12/10/2025 16:43,12/10/2025 17:09
close,DOT/USDT,SHORT,full,2.972,3.026,1760260119.9153044,1760267263.9154289,20.172420050636187,-1.1377083529198369,REVERSE,,2.6748,False,0.04839767018548634,-1.1377083529198369,0.026594,reverse_signal,12/10/2025 16:08,12/10/2025 18:07
open,BNB/USDT,LONG,probe,1246.56,,1760271286.1731827,,0.00794154927811591,,open,,1371.2160000000001,True,0.0,,14.584087,probe_breakout_long,12/10/2025 19:14,
open,SOL/USDT,SHORT,probe,179.42,,1760276058.9642441,,0.05517566418530915,,open,,161.47799999999998,True,0.0,,1.503248,probe_breakout_short,12/10/2025 20:34,
promote,SOL/USDT,SHORT,full,179.42,,1760276058.9642441,,0.3310539851118549,,promoted,,161.47799999999998,False,0.0,,1.503248,probe_breakout_short,12/10/2025 20:34,
open,DOGE/USDT,SHORT,probe,0.187,,1760276359.127967,,52.93913191512389,,open,,0.1683,True,0.0,,0.001636,probe_breakout_short,12/10/2025 20:39,
promote,DOGE/USDT,SHORT,full,0.187,,1760276359.127967,,317.63479149074334,,promoted,,0.1683,False,0.0,,0.001636,probe_breakout_short,12/10/2025 20:39,
open,LTC/USDT,SHORT,probe,94.82,,1760276359.127967,,0.10440432048226289,,open,,85.338,True,0.0,,0.829736,probe_breakout_short,12/10/2025 20:39,
promote,LTC/USDT,SHORT,full,94.82,,1760276359.127967,,0.6264259228935773,,promoted,,85.338,False,0.0,,0.829736,probe_breakout_short,12/10/2025 20:39,
open,AVAX/USDT,SHORT,probe,20.91,,1760276359.127967,,0.473439391110864,,open,,18.819,True,0.0,,0.213994,probe_breakout_short,12/10/2025 20:39,
open,XRP/USDT,SHORT,probe,2.3809,,1760276389.1460552,,4.157930895093522,,open,,2.14281,True,0.0,,0.017444,probe_breakout_short,12/10/2025 20:39,
promote,XRP/USDT,SHORT,full,2.3809,,1760276389.1460552,,24.947585370561132,,promoted,,2.14281,False,0.0,,0.017444,probe_breakout_short,12/10/2025 20:39,
promote,AVAX/USDT,SHORT,full,20.97662418352716,,1760276359.127967,,2.83161415722048,,promoted,,18.819,False,0.0,,0.213994,probe_breakout_short,12/10/2025 20:39,
close,DOGE/USDT,SHORT,full,0.187,0.19002,1760276359.127967,1760279510.827462,317.63479149074334,-1.0071589379371793,REVERSE,,0.1683,False,0.04790186763513603,-1.0071589379371793,0.001636,reverse_signal,12/10/2025 20:39,12/10/2025 21:31
open,ETH/USDT,LONG,probe,3894.07,,1760280411.3516057,,0.0025163650818640776,,open,,4283.477000000001,True,0.0,,28.663136,probe_breakout_long,12/10/2025 21:46,
close,SOL/USDT,SHORT,full,179.42,182.1,1760276058.9642441,1760280411.3516057,0.3310539851118549,-0.9350977347788285,REVERSE,,161.47799999999998,False,0.04787305467905511,-0.9350977347788286,1.503248,reverse_signal,12/10/2025 20:34,12/10/2025 21:46
close,AVAX/USDT,SHORT,full,20.97662418352716,21.26,1760276359.127967,1760280411.3516057,2.83161415722048,-0.8502501029349191,REVERSE,,18.819,False,0.047839129196510566,-0.8502501029349191,0.213994,reverse_signal,12/10/2025 20:39,12/10/2025 21:46
close,XRP/USDT,SHORT,full,2.3809,2.3998,1760276389.1460552,1760280441.3678713,24.947585370561132,-0.51921613205602,REVERSE,,2.14281,False,0.04770676855241664,-0.51921613205602,0.017444,reverse_signal,12/10/2025 20:39,12/10/2025 21:47
close,LTC/USDT,SHORT,full,94.82,96.38,1760276359.127967,1760280471.389921,0.6264259228935773,-1.0251334942968828,REVERSE,,85.338,False,0.04790905458290079,-1.0251334942968828,0.829736,reverse_signal,12/10/2025 20:39,12/10/2025 21:47
open,ATOM/USDT,LONG,probe,3.343,,1760280531.4341292,,2.8315680610014313,,open,,3.6773000000000002,True,0.0,,0.036278,probe_breakout_long,12/10/2025 21:48,
open,TRX/USDT,LONG,probe,0.3197,,1760280891.6691933,,29.608795833368113,,open,,0.35167000000000004,True,0.0,,0.001122,probe_breakout_long,12/10/2025 21:54,
open,DOGE/USDT,LONG,probe,0.19973,,1760281492.0145822,,47.39364155573917,,open,,0.219703,True,0.0,,0.002761,probe_breakout_long,12/10/2025 22:04,
open,SOL/USDT,LONG,probe,188.86,,1760281552.0530903,,0.050121423424376706,,open,,207.74600000000004,True,0.0,,2.322082,probe_breakout_long,12/10/2025 22:05,
open,ADA/USDT,LONG,probe,0.6748,,1760281552.0530903,,14.027759377486346,,open,,0.74228,True,0.0,,0.008308,probe_breakout_long,12/10/2025 22:05,
open,LINK/USDT,LONG,probe,18.35,,1760281552.0530903,,0.5158546064265822,,open,,20.185000000000002,True,0.0,,0.245789,probe_breakout_long,12/10/2025 22:05,
