timestamp,symbol,timeframe,score_long,score_short,score_threshold,score_total_weight,active_total_weight,status
2025-09-28T10:55:33.563766,DOT/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:55:34.240698,TRX/USDT,15m,5.08,8.9,15.0,18.0,18.0,NONE
2025-09-28T10:55:34.691451,AVAX/USDT,15m,2.12,9.54,15.0,18.0,18.0,NONE
2025-09-28T10:55:35.347449,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:55:36.486504,ARB/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:56:26.478633,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:56:26.936695,ETH/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:56:27.397523,BNB/USDT,15m,12.5,1.38,15.0,18.0,18.0,NONE
2025-09-28T10:56:27.852991,SOL/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:56:28.301744,XRP/USDT,15m,4.98,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:56:28.761074,ADA/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:56:29.221092,DOGE/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:56:29.670988,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:56:30.206040,LINK/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:56:30.763789,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:56:31.224646,DOT/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:56:31.753637,TRX/USDT,15m,5.08,8.9,15.0,18.0,18.0,NONE
2025-09-28T10:56:32.203455,AVAX/USDT,15m,2.12,9.54,15.0,18.0,18.0,NONE
